Name,Designation,Company,Location,LinkedIn ID,LinkedIn URL,Source,Confidence,Evidence
Anthony Mistry,CIO Retail Asia,Shell,Singapore,tonym24,https://www.linkedin.com/in/tonym24/,google_browser,85,"Anthony Mistry - CIO Retail Asia at Shell LinkedIn · Anthony Mistry 1.5K+ followers Anthony Mistry - CIO Retail Asia at Shell LinkedIn · Anthony Mistry 1.5K+ followers LinkedIn · Anthony Mistry 1.5K+ followers CIO Retail Asia at Shell. Shell INSEAD. Singapore, Singapore . 1K followers 500+ connections. See your mutual connections. View mutual connections with Anthony. Read more Anthony Mistry - CIO Retail Asia at Shell LinkedIn · Anthony Mistry 1.5K+ followers Anthony Mistry - CIO Retail Asia at Shell LinkedIn · Anthony Mistry 1.5K+ followers LinkedIn · Anthony Mistry 1.5K+ followers CIO Retail Asia at Shell. Shell INSEAD. Singapore, Singapore . 1K followers 500+ connections. See your mutual connections. View mutual connections with Anthony. Read more"
Chirantan Saha,"Principal Consultant - Cloud & Architecture Practice - Technology Transformation , CIO Advisory",Infosys Consulting,Singapore,chirantansaha,https://www.linkedin.com/in/chirantansaha/,google_browser,85,"Chirantan Saha - Principal Consultant, Enterprise Location: Singapore, Singapore · Title: Principal Consultant - Cloud & Architecture Practice - Technology Transformation , CIO Advisory · Company: Infosys Consulting Chirantan Saha - Principal Consultant, Enterprise ... LinkedIn · Chirantan Saha 3.7K+ followers LinkedIn · Chirantan Saha 3.7K+ followers Singapore, Singapore · Principal Consultant - Cloud & Architecture Practice - Technology Transformation , CIO Advisory · Infosys Consulting Singapore, Singapore . 4K followers 500+ connections. See your mutual ... Aug 2023 - Jan 2025 1 year 6 months. Singapore, Singapore . Cloud (non-strategic) ... Read more"
Pooja Singh Thakur,"APAC Beauty Care CIO & Cluster CIO, Malaysia, Singapore and Vietnam",Procter & Gamble,Singapore,singhpooja3,https://www.linkedin.com/in/singhpooja3/,google_browser,85,"Pooja Singh Thakur - Business Technology Executive LinkedIn · Pooja Singh Thakur 4.2K+ followers Location: Singapore, Singapore · Title: APAC Beauty Care CIO & Cluster CIO, Malaysia, Singapore and Vietnam · Company: Procter & Gamble Pooja Singh Thakur - Business Technology Executive LinkedIn · Pooja Singh Thakur 4.2K+ followers LinkedIn · Pooja Singh Thakur 4.2K+ followers Singapore, Singapore · APAC Beauty Care CIO & Cluster CIO, Malaysia, Singapore and Vietnam · Procter & Gamble Singapore, Singapore . 4K followers 500+ connections. See your mutual ... Singapore . CIO, P&G Malaysia, Singapore , Vietnam. Procter & Gamble. Jun 2024 - Jun ... Read more"
Islam Y.,APAC COO/CIO,Société Générale,Singapore,islamyazidi,https://www.linkedin.com/in/islamyazidi/,google_browser,85,"Islam Y. - COO | CIO | Transformational Leader LinkedIn · Islam Y. 1.9K+ followers Location: Singapore, Singapore · Title: APAC COO/CIO | Global Transaction & Payment Services | Wholesale Banking · Company: Société Générale Islam Y. - COO | CIO | Transformational Leader LinkedIn · Islam Y. 1.9K+ followers LinkedIn · Islam Y. 1.9K+ followers Singapore, Singapore · APAC COO/CIO | Global Transaction & Payment Services | Wholesale Banking · Société Générale Singapore, Singapore . 2K followers 500+ connections. See your mutual ... Société Générale. Jul 2019 - Present 7 years 3 months. Singapore . Regional COO/CIO ... Read more"
Chee Khiong Tan,"Chief Information Officer, Asia - Principal Asset Management",Principal Financial Group,Singapore,chee-khiong-tan-a49a3a5,https://www.linkedin.com/in/chee-khiong-tan-a49a3a5/,google_browser,85,"Chee Khiong Tan - Chief Information Officer, Asia LinkedIn · Chee Khiong Tan 1.2K+ followers Location: Singapore · Title: Chief Information Officer, Asia - Principal Asset Management · Company: Principal Financial Group Chee Khiong Tan - Chief Information Officer, Asia LinkedIn · Chee Khiong Tan 1.2K+ followers LinkedIn · Chee Khiong Tan 1.2K+ followers Singapore · Chief Information Officer, Asia - Principal Asset Management · Principal Financial Group Chief Information Officer, Asia - Principal Asset Management. Principal Financial Group. Mar 2023 - Present 3 years 7 months. Singapore, Singapore ... KPMG ... Read more"
Neelesh Shanbhag,CIO & VP of Business Technology,The Janssen Pharmaceutical Companies of Johnson & Johnson,Singapore,neeleshshanbhag,https://www.linkedin.com/in/neeleshshanbhag/,google_browser,85,"Neelesh Shanbhag - CIO & Vice President, Head Location: Singapore, Singapore · Title: CIO & VP of Business Technology · Company: The Janssen Pharmaceutical Companies of Johnson & Johnson Neelesh Shanbhag - CIO & Vice President, Head ... LinkedIn · Neelesh Shanbhag 3.8K+ followers LinkedIn · Neelesh Shanbhag 3.8K+ followers Singapore, Singapore · CIO & VP of Business Technology · The Janssen Pharmaceutical Companies of Johnson & Johnson Singapore, Singapore . 4K followers 500+ connections. See your mutual connections. View mutual connections with Neelesh. Neelesh can introduce you to 10+ people ... Read more"
Chin Yong Tang,Senior Vice President and Chief Information Officer,Singapore Economic Development Board (EDB),Singapore,chinyong,https://www.linkedin.com/in/chinyong/,google_browser,85,Chin Yong Tang - Senior Vice President and Chief Location: Singapore · Title: Senior Vice President and Chief Information Officer · Company: Singapore Economic Development Board (EDB) Chin Yong Tang - Senior Vice President and Chief ... LinkedIn · Chin Yong Tang 1.4K+ followers LinkedIn · Chin Yong Tang 1.4K+ followers Singapore · Senior Vice President and Chief Information Officer · Singapore Economic Development Board (EDB) Chin Yong Tang · Senior Vice President and Chief Information Officer at Singapore Economic Development Board (EDB) · View mutual connections with Chin Yong. Read more
Sanjay Singh,"Senior Vice President - CIO Asia Pacific, India, Middle East, Africa",Procter & Gamble,Singapore,sanjay-singh-a350b02,https://www.linkedin.com/in/sanjay-singh-a350b02/,google_browser,85,"Sanjay Singh - Senior Vice President : CIO Asia Pacific Location: Singapore · Title: Senior Vice President - CIO Asia Pacific, India, Middle East, Africa · Company: Procter & Gamble Sanjay Singh - Senior Vice President : CIO Asia Pacific ... LinkedIn · Sanjay Singh 1.4K+ followers LinkedIn · Sanjay Singh 1.4K+ followers Singapore · Senior Vice President - CIO Asia Pacific, India, Middle East, Africa · Procter & Gamble Singapore, Singapore . Associate Director Asia Sales IT Leader and IT Initiatives Leaders. Procter & Gamble. Feb 2007 - Sep 2010 3 years 8 months. Singapore, ... Read more"
Paul Tan,"Chief Digital and Information Officer, AMEA, Mars Snacking",Mars,Singapore,paul-jason-tan,https://www.linkedin.com/in/paul-jason-tan/,google_browser,85,"Paul Tan - Regional CIO | People Leader | Digital Strategy LinkedIn · Paul Tan 1.1K+ followers Location: Singapore · Title: Chief Digital and Information Officer, AMEA, Mars Snacking · Company: Mars Paul Tan - Regional CIO | People Leader | Digital Strategy LinkedIn · Paul Tan 1.1K+ followers LinkedIn · Paul Tan 1.1K+ followers Singapore · Chief Digital and Information Officer, AMEA, Mars Snacking · Mars Paul Tan · Regional CIO | People Leader | Digital Strategy | Business Transformation | Data Analytics | Solutions-Focused · View mutual connections with Paul. Read more"
Jeff Poh,Vice President Information Technology / Head of IT / CIO,Resorts World Sentosa,Singapore,jeff-poh-40391616,https://www.linkedin.com/in/jeff-poh-40391616/,google_browser,85,"Jeff Poh - CIO/Vice President Technology LinkedIn · Jeff Poh 1.1K+ followers Location: Singapore · Title: Vice President Information Technology / Head of IT / CIO · Company: Resorts World Sentosa Jeff Poh - CIO/Vice President Technology LinkedIn · Jeff Poh 1.1K+ followers LinkedIn · Jeff Poh 1.1K+ followers Singapore · Vice President Information Technology / Head of IT / CIO · Resorts World Sentosa Unilever Singapore Pte Ltd. Aug 1995 - Jan 1998 2 years 6 months. Singapore, Singapore . Setup and manage Regional Network, cc:mail, Lotus Notes Hub for ... Read more"
Audi Pramananda,Chief Information Officer,The Farrer Park Company Pte Ltd,Singapore,audisp,https://www.linkedin.com/in/audisp/,google_browser,85,"Audi Pramananda - Chief Information Officer @ The Farrer Location: Singapore, Singapore · Title: Chief Information Officer · Company: The Farrer Park Company Pte Ltd Audi Pramananda - Chief Information Officer @ The Farrer ... LinkedIn · Audi Pramananda 490+ followers LinkedIn · Audi Pramananda 490+ followers Singapore, Singapore · Chief Information Officer · The Farrer Park Company Pte Ltd Chief Information Officer @ The Farrer Park Company Pte Ltd. The Farrer Park Company Pte Ltd University of Indonesia. Singapore, Singapore . 493 followers 413 ... Read more"
"Abhishek Rawat, CFA","Founder, CIO",AR Global Capital,Singapore,abhishek-rawat-cfa,https://www.linkedin.com/in/abhishek-rawat-cfa/,google_browser,85,"Abhishek Rawat, CFA - Founder, CIO at AR Global Capital LinkedIn · Abhishek Rawat, CFA 1.1K+ followers Location: Singapore, Singapore · Title: Founder, CIO · Company: AR Global Capital Abhishek Rawat, CFA - Founder, CIO at AR Global Capital LinkedIn · Abhishek Rawat, CFA 1.1K+ followers LinkedIn · Abhishek Rawat, CFA 1.1K+ followers Singapore, Singapore · Founder, CIO · AR Global Capital Abhishek Rawat, CFA. Founder, CIO at AR Global Capital. AR Global Capital Indian Institute of Management, Ahmedabad. Singapore, Singapore . 1K followers 500+ ... Read more"
Randal Low,Chief Information Officer,National Research Foundation Singapore,Singapore,randal-low,https://www.linkedin.com/in/randal-low/,google_browser,85,Randal Low - Chief Information Officer | National Research Location: Singapore · Title: Chief Information Officer · Company: National Research Foundation Singapore Web results Randal Low - Chief Information Officer | National Research ... LinkedIn · Randal Low 560+ followers LinkedIn · Randal Low 560+ followers Singapore · Chief Information Officer · National Research Foundation Singapore Randal Low. Chief Information Officer | National Research Foundation & S&TPPO. National Research Foundation Singapore Nanyang Technological University ... Read more
Christian Eyssautier,Chief Information Officer,Virtuos,Singapore,christian-eyssautier-7350815,https://www.linkedin.com/in/christian-eyssautier-7350815/,google_browser,85,"Christian Eyssautier - Chief Information Officer LinkedIn · Christian Eyssautier 1.3K+ followers Location: Singapore · Title: Chief Information Officer · Company: Virtuos Web results Christian Eyssautier - Chief Information Officer LinkedIn · Christian Eyssautier 1.3K+ followers LinkedIn · Christian Eyssautier 1.3K+ followers Singapore · Chief Information Officer · Virtuos Chief Information Officer. Virtuos Nantes Université. Singapore . 1K followers 500+ ... Singapore, Singapore . Production company specializing in video game ... Read more"
Ron Fong,Chief Information Officer (CIO),iO3 Pte Ltd,Singapore,ron-fong,https://www.linkedin.com/in/ron-fong/,google_browser,85,"Ron Fong - Chief Information Officer at iO3 Pte Ltd LinkedIn · Ron Fong 3.4K+ followers Location: Singapore, Singapore · Title: Chief Information Officer (CIO) · Company: iO3 Pte Ltd Ron Fong - Chief Information Officer at iO3 Pte Ltd LinkedIn · Ron Fong 3.4K+ followers LinkedIn · Ron Fong 3.4K+ followers Singapore, Singapore · Chief Information Officer (CIO) · iO3 Pte Ltd Ron Fong. Chief Information Officer at iO3 Pte Ltd. iO3 Pte Ltd. Singapore, Singapore ... Kuok Singapore Limited Group. 3 years. Head of Fleet IT (GM) - PCL ... Read more"
Elansaran Arunasalam,Chief Information Officer,Building and Construction Authority,Singapore,elansaran-arunasalam-825254a8,https://www.linkedin.com/in/elansaran-arunasalam-825254a8/,google_browser,85,Elansaran Arunasalam - Chief Information Officer at Location: Singapore · Title: Chief Information Officer · Company: Building and Construction Authority Elansaran Arunasalam - Chief Information Officer at ... LinkedIn · Elansaran Arunasalam 320+ followers LinkedIn · Elansaran Arunasalam 320+ followers Singapore · Chief Information Officer · Building and Construction Authority Chief Information Officer at GovTech Singapore · Over 27 years of IT consultancy and management experience working in various government agencies.
Irene Tan,Chief Information Officer,GovTech Singapore,Singapore,irene-tan-b5b0aa31a,https://www.linkedin.com/in/irene-tan-b5b0aa31a/,google_browser,85,Irene Tan - Chief Information Officer at GovTech Singapore LinkedIn · Irene Tan 70+ followers Location: Singapore · Title: Chief Information Officer · Company: GovTech Singapore Irene Tan - Chief Information Officer at GovTech Singapore LinkedIn · Irene Tan 70+ followers LinkedIn · Irene Tan 70+ followers Singapore · Chief Information Officer · GovTech Singapore Chief Information Officer at GovTech Singapore · Experience: GovTech Singapore · Location: Singapore · 61 connections on LinkedIn. View Irene Tan's profile ...
Shan Gandhimani,Chief Information Officer,MindChamps,Singapore,shan-gandhimani-2aba485a,https://www.linkedin.com/in/shan-gandhimani-2aba485a/,google_browser,85,"Shan Gandhimani - Chief Information Officer at MindChamps LinkedIn · Shan Gandhimani 1.2K+ followers Location: Singapore, Singapore · Title: Chief Information Officer · Company: MindChamps Shan Gandhimani - Chief Information Officer at MindChamps LinkedIn · Shan Gandhimani 1.2K+ followers LinkedIn · Shan Gandhimani 1.2K+ followers Singapore, Singapore · Chief Information Officer · MindChamps Shan Gandhimani. Chief Information Officer at MindChamps. MindChamps PSG College of Technology. Singapore, Singapore . Read more"
Wern Chau Wee,Chief Information Officer,GovTech Singapore,Singapore,wern-chau-wee-387400210,https://www.linkedin.com/in/wern-chau-wee-387400210/,google_browser,85,"Wern Chau Wee - Chief Information Officer at Singapore Location: Singapore, Singapore · Title: Chief Information Officer · Company: GovTech Singapore Wern Chau Wee - Chief Information Officer at Singapore ... LinkedIn · Wern Chau Wee 10+ followers LinkedIn · Wern Chau Wee 10+ followers Singapore, Singapore · Chief Information Officer · GovTech Singapore Wern Chau Wee. Chief Information Officer at Singapore Land Authority, seconded from GovTech Singapore . GovTech Singapore . Singapore, Singapore . Read more"
Adam Seyer,Chief Information Officer,StarHub,Singapore,adamseyer,https://www.linkedin.com/in/adamseyer/,google_browser,85,"Adam Seyer - Chief Information Officer at Starhub LinkedIn · Adam Seyer 2.4K+ followers Location: Singapore · Title: Chief Information Officer · Company: StarHub Adam Seyer - Chief Information Officer at Starhub LinkedIn · Adam Seyer 2.4K+ followers LinkedIn · Adam Seyer 2.4K+ followers Singapore · Chief Information Officer · StarHub Singapore, Singapore . Head of the GTS Organization (CIO): Guided and directed enterprise technology services for the Grab portfolio of companies, enhancing ... Read more"
Jeong Hee Jeong,CEO / CIO,KB Asset Management singapore,Singapore,jeong-hee-jeong-629163241,https://www.linkedin.com/in/jeong-hee-jeong-629163241/,google_browser,85,"Jeong Hee Jeong - KB Asset Management Singapore CEO Location: Singapore, Singapore · Title: CEO / CIO · Company: KB Asset Management singapore Jeong Hee Jeong - KB Asset Management Singapore CEO ... LinkedIn · Jeong Hee Jeong 10+ followers LinkedIn · Jeong Hee Jeong 10+ followers Singapore, Singapore · CEO / CIO · KB Asset Management singapore 2022.08 – Present KB Asset Management Singapore Singapore CEO / CIO Managed Equity Long-Short Fund(65Mil USD). Conducted equity research on Global IT Read more"
Roland Tan,Chief Information Officer,Enterprise Singapore,Singapore,roland-tan-75675519a,https://www.linkedin.com/in/roland-tan-75675519a/,google_browser,85,"Roland Tan - CIO at Enterprise Singapore LinkedIn · Roland Tan 590+ followers Location: Singapore · Title: Chief Information Officer · Company: Enterprise Singapore Roland Tan - CIO at Enterprise Singapore LinkedIn · Roland Tan 590+ followers LinkedIn · Roland Tan 590+ followers Singapore · Chief Information Officer · Enterprise Singapore CIO at Enterprise Singapore · Product Management, ex-Singpass, ex-Myinfo · Experience: Enterprise Singapore · Education: National University of Singapore ..."
Eddie O.,CIO,Sompo Insurance Singapore Pte Ltd,Singapore,eddieow,https://www.linkedin.com/in/eddieow/,google_browser,85,Eddie O. - CIO at Sompo Insurance Singapore Pte Ltd LinkedIn · Eddie O. 400+ followers Location: Singapore · Title: CIO · Company: Sompo Insurance Singapore Pte Ltd Eddie O. - CIO at Sompo Insurance Singapore Pte Ltd LinkedIn · Eddie O. 400+ followers LinkedIn · Eddie O. 400+ followers Singapore · CIO · Sompo Insurance Singapore Pte Ltd CIO at Sompo Insurance Singapore Pte Ltd · IT professional with over two decades of experience delivering enterprise technology solutions across ...
HRUSHIKESH KULKARNI,Chief Information Officer,LIC Singapore,Singapore,hrushikesh-kulkarni-116b30323,https://www.linkedin.com/in/hrushikesh-kulkarni-116b30323/,google_browser,85,"HRUSHIKESH KULKARNI - Chief Information Officer at LIC Location: Singapore, Singapore · Title: Chief Information Officer · Company: LIC Singapore HRUSHIKESH KULKARNI - Chief Information Officer at LIC ... LinkedIn · HRUSHIKESH KULKARNI 4 followers LinkedIn · HRUSHIKESH KULKARNI 4 followers Singapore, Singapore · Chief Information Officer · LIC Singapore HRUSHIKESH KULKARNI. Chief Information Officer at LIC Singapore . LIC Singapore . Singapore, Singapore . 4 followers. Read more"
Agustin Menichetti,Chief Information Officer,AirTrunk,Singapore,agustin-menichetti-971a37280,https://www.linkedin.com/in/agustin-menichetti-971a37280/,google_browser,85,"Agustin Menichetti - Chief Information Officer LinkedIn · Agustin Menichetti 7 followers Location: Singapore, Singapore · Title: Chief Information Officer · Company: AirTrunk Agustin Menichetti - Chief Information Officer LinkedIn · Agustin Menichetti 7 followers LinkedIn · Agustin Menichetti 7 followers Singapore, Singapore · Chief Information Officer · AirTrunk Agustin Menichetti. Chief Information Officer. AirTrunk CEIT NTU. Singapore, Singapore . 7 followers ... Read more"
Glen Beamson,CIO Singapore,Millennium,Singapore,glenbeamson,https://www.linkedin.com/in/glenbeamson/,google_browser,85,"Glen Beamson - CIO Singapore @ Millennium LinkedIn · Glen Beamson 1.6K+ followers Location: Singapore, Singapore · Title: CIO Singapore · Company: Millennium Web results Glen Beamson - CIO Singapore @ Millennium LinkedIn · Glen Beamson 1.6K+ followers LinkedIn · Glen Beamson 1.6K+ followers Singapore, Singapore · CIO Singapore · Millennium Glen Beamson. CIO Singapore @ Millennium | Technology Leadership. Millennium University of Nottingham. Singapore, Singapore . Read more"
Nga Chee Meng,Chief Information Officer,DSTA,Singapore,nga-chee-meng-567758282,https://www.linkedin.com/in/nga-chee-meng-567758282/,google_browser,85,"Nga Chee Meng - Chief Information Officer at DSTA LinkedIn · Nga Chee Meng 70+ followers Location: Singapore, Singapore · Title: Chief Information Officer · Company: DSTA Nga Chee Meng - Chief Information Officer at DSTA LinkedIn · Nga Chee Meng 70+ followers LinkedIn · Nga Chee Meng 70+ followers Singapore, Singapore · Chief Information Officer · DSTA Nga Chee Meng. Chief Information Officer at DSTA. DSTA. Singapore, Singapore . 79 followers 49 connections. Read more"
David Florijn,Group CIO,Hoya,Singapore,davidflorijn,https://www.linkedin.com/in/davidflorijn/,google_browser,85,"David Florijn - Group CIO @ Hoya LinkedIn · David Florijn 1.6K+ followers Location: Singapore, Singapore · Title: Group CIO · Company: Hoya David Florijn - Group CIO @ Hoya LinkedIn · David Florijn 1.6K+ followers LinkedIn · David Florijn 1.6K+ followers Singapore, Singapore · Group CIO · Hoya Group CIO @ Hoya. Hoya The London School of Economics and Political Science (LSE). Singapore, Singapore . 2K followers 500+ connections. See your mutual ... Read more"
Adrian Tang,Chief Information Officer,IMDA,Singapore,adrian-tang-85a759309,https://www.linkedin.com/in/adrian-tang-85a759309/,google_browser,85,"Adrian Tang - CIO LinkedIn · Adrian Tang 860+ followers Location: Singapore, Singapore · Title: Chief Information Officer · Company: IMDA Adrian Tang - CIO LinkedIn · Adrian Tang 860+ followers LinkedIn · Adrian Tang 860+ followers Singapore, Singapore · Chief Information Officer · IMDA CIO. IMDA University of Strathclyde. Singapore, Singapore . 892 followers 500+ connections. See your mutual connections. View mutual connections with Adrian. Read more"
wan Lee,Chief Information Officer,CIFI Group,Singapore,wan-lee-228022274,https://www.linkedin.com/in/wan-lee-228022274/,google_browser,85,"wan Lee - Chief Information Officer at CIFI Group LinkedIn · wan Lee 3 followers Location: Singapore, Singapore · Title: Chief Information Officer · Company: CIFI Group wan Lee - Chief Information Officer at CIFI Group LinkedIn · wan Lee 3 followers LinkedIn · wan Lee 3 followers Singapore, Singapore · Chief Information Officer · CIFI Group wan Lee. Chief Information Officer at CIFI Group. CIFI Group. Singapore, Singapore . 3 followers. Read more"
